case_id,step,joint,pytorch_reference,rust_actual,signed_error,abs_error,tolerance,pass
000,0,0,2.034014702,2.034031868,0.000017166,0.000017166,0.000020350,true
000,0,1,-69.784507751,-69.784530640,-0.000022888,0.000022888,0.000697855,true
000,0,2,68.138076782,68.138114929,0.000038147,0.000038147,0.000681391,true
000,0,3,11.644514084,11.644502640,-0.000011444,0.000011444,0.000116455,true
000,0,4,-2.798796654,-2.798797131,-0.000000477,0.000000477,0.000027998,true
000,0,5,61.285499573,61.285491943,-0.000007629,0.000007629,0.000612865,true
000,1,0,1.585897446,1.585906506,0.000009060,0.000009060,0.000015869,true
000,1,1,-69.293457031,-69.293495178,-0.000038147,0.000038147,0.000692945,true
000,1,2,68.506553650,68.506607056,0.000053406,0.000053406,0.000685076,true
000,1,3,10.911277771,10.911251068,-0.000026703,0.000026703,0.000109123,true
000,1,4,-2.881075382,-2.881076097,-0.000000715,0.000000715,0.000028821,true
000,1,5,61.381839752,61.381843567,0.000003815,0.000003815,0.000613828,true
000,2,0,1.377352238,1.377366066,0.000013828,0.000013828,0.000013784,false
000,2,1,-68.953720093,-68.953742981,-0.000022888,0.000022888,0.000689547,true
000,2,2,69.088363647,69.088386536,0.000022888,0.000022888,0.000690894,true
000,2,3,10.399467468,10.399456024,-0.000011444,0.000011444,0.000104005,true
000,2,4,-2.906660557,-2.906661510,-0.000000954,0.000000954,0.000029077,true
000,2,5,61.263694763,61.263690948,-0.000003815,0.000003815,0.000612647,true
000,3,0,1.046422005,1.046441078,0.000019073,0.000019073,0.000010474,false
000,3,1,-68.469856262,-68.469863892,-0.000007629,0.000007629,0.000684709,true
000,3,2,69.156730652,69.156761169,0.000030518,0.000030518,0.000691577,true
000,3,3,10.363767624,10.363759995,-0.000007629,0.000007629,0.000103648,true
000,3,4,-3.032862663,-3.032864332,-0.000001669,0.000001669,0.000030339,true
000,3,5,61.190536499,61.190532684,-0.000003815,0.000003815,0.000611915,true
000,4,0,1.004180908,1.004190922,0.000010014,0.000010014,0.000010052,true
000,4,1,-67.500762939,-67.500793457,-0.000030518,0.000030518,0.000675018,true
000,4,2,68.419082642,68.419105530,0.000022888,0.000022888,0.000684201,true
000,4,3,9.920080185,9.920068741,-0.000011444,0.000011444,0.000099211,true
000,4,4,-3.175792217,-3.175790787,0.000001431,0.000001431,0.000031768,true
000,4,5,61.517627716,61.517620087,-0.000007629,0.000007629,0.000615186,true
000,5,0,0.854773998,0.854790688,0.000016689,0.000016689,0.000008558,false
000,5,1,-67.014732361,-67.014739990,-0.000007629,0.000007629,0.000670157,true
000,5,2,68.355102539,68.355087280,-0.000015259,0.000015259,0.000683561,true
000,5,3,9.916070938,9.916088104,0.000017166,0.000017166,0.000099171,true
000,5,4,-3.279232264,-3.279233456,-0.000001192,0.000001192,0.000032802,true
